data,hora_inicio,hora_termino,numero_os,numero_op,qtde_op,cod_parada,parada,cod_operador,cod_produto_maquina,servico_maquina,total_minutos
01/03/2023,16:46:00,17:00:00,107434,19714,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,210,6096,PRE-PRODUCAO,14
01/03/2023,16:40:00,16:50:00,107435,19714,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,204,6096,PRE-PRODUCAO,10
01/03/2023,16:37:00,16:48:00,107417,19815,40,5,FALTA DE MATÉRIA PRIMA,215,7072,PRODUÇÃO,11
01/03/2023,16:35:00,16:50:00,107394,19148,13,3,TROCA DE O.S.,93,7081,FINALIZAÇÃO DE PRODUTO,15
01/03/2023,16:35:00,16:45:00,0,0,0,16,PROBLEMA RELACIONADO A SAÚDE PESSOAL OU DE COLEGA,171,0,,10
01/03/2023,16:35:00,17:10:00,107433,19695,30,3,TROCA DE O.S.,115,6258,MECÂNICA,35
01/03/2023,16:30:00,17:30:00,107381,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,156,6029,PRE-TESTE,60
01/03/2023,16:20:11,17:30:00,107231,19472,30,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,183,6966,TESTE,69
01/03/2023,16:10:00,16:40:00,107435,19714,11,3,TROCA DE O.S.,204,6096,PRE-PRODUCAO,30
01/03/2023,16:10:00,16:25:00,107394,19148,13,3,TROCA DE O.S.,93,7081,FINALIZAÇÃO DE PRODUTO,15
01/03/2023,16:08:00,16:40:00,107434,19714,11,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,210,6096,PRE-PRODUCAO,32
01/03/2023,16:05:00,16:30:00,107401,19573,21,12,ATENDIMENTO AO BALCAO INTERNO - ALMOXARIFADO,76,7134,SEPARACAO,25
01/03/2023,16:05:00,16:19:00,107436,19646,30,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,179,5697,PRODUÇÃO,14
01/03/2023,16:03:00,17:00:00,107483,19666,20,3,TROCA DE O.S.,73,6036,PRE-PRODUCAO,57
01/03/2023,16:03:00,17:38:00,107409,18986,180,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,159,5461,PRE-TESTE,95
01/03/2023,16:03:00,17:35:00,107383,19617,58,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,53,7368,PRODUÇÃO,92
01/03/2023,16:03:00,16:35:00,107350,19666,20,3,TROCA DE O.S.,60,6036,PRE-PRODUCAO,32
01/03/2023,16:03:00,16:20:00,107339,19665,10,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,183,6067,PRE-TESTE,17
01/03/2023,16:03:00,16:30:00,17272,4791,6,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,156,5730,TESTE,27
01/03/2023,16:03:00,17:38:00,107414,19815,40,3,TROCA DE O.S.,218,7072,PRODUÇÃO,95
01/03/2023,16:03:00,18:00:00,107468,19646,30,15,PROCESSO PRODUÇÃO ESPECÍFICO - NÃO CALCULA PRODUTI,122,5697,PRODUÇÃO,117
01/03/2023,16:03:00,16:20:00,107433,19695,30,3,TROCA DE O.S.,115,6258,MECÂNICA,17
01/03/2023,16:03:00,17:00:00,107463,19671,11,3,TROCA DE O.S.,161,6029,PRE-TESTE,57
01/03/2023,16:00:00,16:35:00,107452,19646,30,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,171,5697,PRODUÇÃO,35
01/03/2023,16:00:00,16:37:00,107417,19815,40,3,TROCA DE O.S.,215,7072,PRODUÇÃO,37
01/03/2023,16:00:00,16:03:00,107388,19505,20,3,TROCA DE O.S.,220,3771,SEPARACAO,3
01/03/2023,16:00:00,17:57:00,0,0,0,3,TROCA DE O.S.,180,16,GRAVAÇÃO DE MICROCONTROLADOR,117
01/03/2023,16:00:00,17:30:00,107366,19815,40,15,PROCESSO PRODUÇÃO ESPECÍFICO - NÃO CALCULA PRODUTI,128,7072,PRODUÇÃO,90
01/03/2023,16:00:00,16:10:00,0,0,0,3,TROCA DE O.S.,93,2,EMBALAGEM,10
01/03/2023,16:00:00,16:05:00,107436,19646,30,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,179,5697,PRODUÇÃO,5
01/03/2023,16:00:00,16:56:00,107357,19774,9,3,TROCA DE O.S.,198,6735,PRODUÇÃO,56
01/03/2023,15:40:00,15:45:00,107328,19720,60,19,REGISTRO DO APONTAMENTO NO SISTEMA,121,6104,PRE-PRODUCAO,5
01/03/2023,15:37:00,15:38:00,107324,19517,100,19,REGISTRO DO APONTAMENTO NO SISTEMA,189,4669,PRODUÇÃO,1
01/03/2023,15:35:00,15:40:00,107452,19646,30,19,REGISTRO DO APONTAMENTO NO SISTEMA,171,5697,PRODUÇÃO,5
01/03/2023,15:33:00,15:37:00,107322,19694,30,19,REGISTRO DO APONTAMENTO NO SISTEMA,204,6938,PRODUÇÃO,4
01/03/2023,15:20:00,15:45:00,107366,19815,40,15,PROCESSO PRODUÇÃO ESPECÍFICO - NÃO CALCULA PRODUTI,128,7072,PRODUÇÃO,25
01/03/2023,15:15:00,15:30:00,107341,19109,10,17,AGUARDANDO PROCESSO DE INSPEÇÃO DA QUALIDADE,93,6792,FINALIZAÇÃO DE PRODUTO,15
01/03/2023,15:10:00,15:22:00,107436,19646,30,21,CONFERÊNCIA DE MATÉRIA PRIMA NA O.P.,179,5697,PRODUÇÃO,12
01/03/2023,15:05:00,15:15:00,107341,19109,10,3,TROCA DE O.S.,93,6792,FINALIZAÇÃO DE PRODUTO,10
01/03/2023,15:00:00,15:20:00,107380,19648,5,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,128,4094,PRODUÇÃO,20
01/03/2023,15:00:00,15:45:00,107339,19665,10,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,183,6067,PRE-TESTE,45
01/03/2023,15:00:00,15:04:00,107297,19301,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,179,6792,PRODUÇÃO,4
01/03/2023,15:00:00,15:35:00,108526,19500,122,3,TROCA DE O.S.,155,4506,TESTE,35
01/03/2023,14:55:00,15:00:00,107380,19648,5,21,CONFERÊNCIA DE MATÉRIA PRIMA NA O.P.,128,4094,PRODUÇÃO,5
01/03/2023,14:44:00,14:47:00,107291,19776,6,19,REGISTRO DO APONTAMENTO NO SISTEMA,172,4915,TESTE,3
01/03/2023,14:40:00,14:45:00,107290,19472,30,19,REGISTRO DO APONTAMENTO NO SISTEMA,73,6966,PRE-PRODUCAO,5
01/03/2023,14:40:00,14:45:00,107321,19115,6,19,REGISTRO DO APONTAMENTO NO SISTEMA,171,5601,PRODUÇÃO,5
01/03/2023,14:32:00,14:37:00,107288,19301,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,147,6792,PRODUÇÃO,5
01/03/2023,14:30:00,14:33:00,107287,19836,2,19,REGISTRO DO APONTAMENTO NO SISTEMA,172,7137,TESTE,3
01/03/2023,14:20:00,14:23:00,107285,19693,40,19,REGISTRO DO APONTAMENTO NO SISTEMA,172,6673,PRE-TESTE,3
01/03/2023,14:03:00,14:17:00,107406,19769,100,3,TROCA DE O.S.,220,4746,SEPARACAO,14
01/03/2023,14:02:00,14:18:00,107398,19066,25,3,TROCA DE O.S.,76,6793,SEPARACAO,16
01/03/2023,13:50:00,15:00:00,107397,19520,52,3,TROCA DE O.S.,155,6096,TESTE,70
01/03/2023,13:44:00,13:52:00,107398,19066,25,12,ATENDIMENTO AO BALCAO INTERNO - ALMOXARIFADO,76,6793,SEPARACAO,8
01/03/2023,13:40:00,13:48:00,107273,19534,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,175,6793,PRODUÇÃO,8
01/03/2023,13:40:00,14:00:00,0,0,0,3,TROCA DE O.S.,93,2,EMBALAGEM,20
01/03/2023,13:40:00,13:50:00,107277,19501,126,19,REGISTRO DO APONTAMENTO NO SISTEMA,155,6735,TESTE,10
01/03/2023,13:35:00,13:55:00,107359,18921,41,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,133,5714,PRODUÇÃO,20
01/03/2023,13:35:00,15:45:00,107468,19646,30,15,PROCESSO PRODUÇÃO ESPECÍFICO - NÃO CALCULA PRODUTI,122,5697,PRODUÇÃO,130
01/03/2023,13:30:00,13:35:00,107267,19301,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,122,6792,PRODUÇÃO,5
01/03/2023,13:28:00,14:06:00,107409,18986,180,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,159,5461,PRE-TESTE,38
01/03/2023,13:25:00,13:35:00,107359,18921,41,3,TROCA DE O.S.,133,5714,PRODUÇÃO,10
01/03/2023,13:25:00,14:40:00,107290,19472,30,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,73,6966,PRE-PRODUCAO,75
01/03/2023,13:20:00,13:25:00,107359,18921,41,19,REGISTRO DO APONTAMENTO NO SISTEMA,133,5714,PRODUÇÃO,5
01/03/2023,13:18:00,13:28:00,0,0,0,2,NECESSIDADES OU ASSUNTOS PESSOAIS,151,0,,10
01/03/2023,13:10:00,13:45:00,107386,19985,25,3,TROCA DE O.S.,207,3920,PRE-PRODUCAO,35
01/03/2023,13:10:00,13:25:00,107261,19534,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,73,6793,PRODUÇÃO,15
01/03/2023,13:10:00,13:15:00,107260,19683,35,19,REGISTRO DO APONTAMENTO NO SISTEMA,141,4711,ACABAMENTOS,5
01/03/2023,13:08:00,13:12:00,107256,18931,19,19,REGISTRO DO APONTAMENTO NO SISTEMA,198,6243,MECÂNICA,4
01/03/2023,13:01:00,13:27:00,107345,19845,40,3,TROCA DE O.S.,76,7442,SEPARACAO,26
01/03/2023,13:00:00,13:10:00,0,0,0,3,TROCA DE O.S.,93,2,EMBALAGEM,10
01/03/2023,13:00:00,13:18:00,107422,19299,20,3,TROCA DE O.S.,151,3979,PRE-PRODUCAO,18
01/03/2023,13:00:00,13:28:00,107409,18986,180,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,159,5461,PRE-TESTE,28
01/03/2023,13:00:00,14:16:00,107400,19617,58,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,139,7368,PRODUÇÃO,76
01/03/2023,13:00:00,14:26:00,107383,19617,58,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,53,7368,PRODUÇÃO,86
01/03/2023,13:00:00,15:30:00,107370,19277,100,3,TROCA DE O.S.,36,5477,PRE-TESTE,150
01/03/2023,13:00:00,15:45:00,17272,4791,6,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,156,5730,TESTE,165
01/03/2023,13:00:00,14:08:00,107320,19694,30,3,TROCA DE O.S.,210,6938,PRODUÇÃO,68
01/03/2023,13:00:00,13:15:00,107297,19301,20,17,AGUARDANDO PROCESSO DE INSPEÇÃO DA QUALIDADE,179,6792,PRODUÇÃO,15
01/03/2023,13:00:00,13:07:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,128,25,APONTAMENTO NO GESTOR DE SERVIÇO AVULSO,7
01/03/2023,13:00:00,13:30:00,107463,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,161,6029,PRE-TESTE,30
01/03/2023,11:45:00,11:50:00,107246,19534,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,133,6793,PRODUÇÃO,5
01/03/2023,11:40:00,11:57:00,107934,19117,10,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6792,PRE-TESTE,17
01/03/2023,11:33:00,11:35:00,107558,19536,300,3,TROCA DE O.S.,150,4746,SEPARACAO,2
01/03/2023,11:29:00,11:47:00,107332,19844,40,3,TROCA DE O.S.,220,7438,SEPARACAO,18
01/03/2023,11:29:00,11:32:00,107243,19567,12,19,REGISTRO DO APONTAMENTO NO SISTEMA,151,5771,PRE-PRODUCAO,3
01/03/2023,11:20:00,11:30:00,17270,4791,6,3,TROCA DE O.S.,93,5730,FINALIZAÇÃO DE PRODUTO,10
01/03/2023,11:10:00,12:00:00,107463,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,161,6029,PRE-TESTE,50
01/03/2023,11:07:00,11:40:00,107934,19117,10,3,TROCA DE O.S.,106,6792,PRE-TESTE,33
01/03/2023,11:05:00,11:12:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,128,25,APONTAMENTO NO GESTOR DE SERVIÇO AVULSO,7
01/03/2023,11:00:00,11:07:00,107261,19534,20,2,NECESSIDADES OU ASSUNTOS PESSOAIS,73,6793,PRODUÇÃO,7
01/03/2023,11:00:00,12:00:00,107253,19500,122,3,TROCA DE O.S.,155,4506,TESTE,60
01/03/2023,10:52:00,10:54:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,46,0,,2
01/03/2023,10:50:00,11:07:00,107235,19311,85,19,REGISTRO DO APONTAMENTO NO SISTEMA,106,6975,TESTE,17
01/03/2023,10:45:00,11:20:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,93,2,EMBALAGEM,35
01/03/2023,10:30:00,10:45:00,0,0,0,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,93,2,EMBALAGEM,15
01/03/2023,10:30:00,11:10:00,107463,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,161,6029,PRE-TESTE,40
01/03/2023,10:17:00,10:18:00,107228,19836,2,19,REGISTRO DO APONTAMENTO NO SISTEMA,195,7137,PRODUÇÃO,1
01/03/2023,10:15:00,10:30:00,0,0,0,2,NECESSIDADES OU ASSUNTOS PESSOAIS,93,2,EMBALAGEM,15
01/03/2023,10:11:00,10:15:00,107236,19777,5,3,TROCA DE O.S.,210,4929,PRODUÇÃO,4
01/03/2023,10:00:00,10:15:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,93,2,EMBALAGEM,15
01/03/2023,09:58:00,10:02:00,107225,19390,100,19,REGISTRO DO APONTAMENTO NO SISTEMA,172,5477,TESTE,4
01/03/2023,09:55:00,10:30:00,107463,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,161,6029,PRE-TESTE,35
01/03/2023,09:50:00,10:00:00,107338,19843,35,3,TROCA DE O.S.,76,7441,SEPARACAO,10
01/03/2023,09:48:00,11:00:00,107397,19520,52,3,TROCA DE O.S.,155,6096,TESTE,72
01/03/2023,09:48:00,11:00:00,107261,19534,20,3,TROCA DE O.S.,73,6793,PRODUÇÃO,72
01/03/2023,09:48:00,10:50:00,107252,19472,30,3,TROCA DE O.S.,120,6966,TESTE,62
01/03/2023,09:48:00,10:10:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,22
01/03/2023,09:48:00,10:10:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,22
01/03/2023,09:48:00,09:55:00,107463,19671,11,3,TROCA DE O.S.,161,6029,PRE-TESTE,7
01/03/2023,09:45:00,10:04:00,0,0,0,3,TROCA DE O.S.,180,17,INSPEÇÃO DE PROCESSO / CONTROLE DE QUALIDADE,19
01/03/2023,09:45:00,10:42:00,107350,19666,20,3,TROCA DE O.S.,60,6036,PRE-PRODUCAO,57
01/03/2023,09:45:00,10:11:00,107320,19694,30,3,TROCA DE O.S.,210,6938,PRODUÇÃO,26
01/03/2023,09:27:00,09:30:00,107223,19721,60,19,REGISTRO DO APONTAMENTO NO SISTEMA,195,7046,PRODUÇÃO,3
01/03/2023,09:00:00,09:10:00,0,0,0,17,AGUARDANDO PROCESSO DE INSPEÇÃO DA QUALIDADE,199,2,EMBALAGEM,10
01/03/2023,08:50:00,09:17:00,107338,19843,35,12,ATENDIMENTO AO BALCAO INTERNO - ALMOXARIFADO,76,7441,SEPARACAO,27
01/03/2023,08:50:00,09:00:00,107225,19390,100,10,REUNIÃO,172,5477,TESTE,10
01/03/2023,08:36:00,09:30:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,54
01/03/2023,08:36:00,09:30:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,54
01/03/2023,08:36:00,08:42:00,107218,19390,100,19,REGISTRO DO APONTAMENTO NO SISTEMA,200,5477,FINALIZAÇÃO DE PRODUTO,6
01/03/2023,08:20:00,08:55:00,107562,19387,350,12,ATENDIMENTO AO BALCAO INTERNO - ALMOXARIFADO,150,7072,SEPARACAO,35
01/03/2023,08:15:00,09:00:00,107266,19585,20,3,TROCA DE O.S.,199,4723,FINALIZAÇÃO DE PRODUTO,45
01/03/2023,08:15:00,08:18:00,107203,19650,5,19,REGISTRO DO APONTAMENTO NO SISTEMA,121,7376,PRE-PRODUCAO,3
01/03/2023,08:10:00,08:30:00,0,0,0,3,TROCA DE O.S.,93,2,EMBALAGEM,20
01/03/2023,08:00:00,08:11:00,107479,19683,35,3,TROCA DE O.S.,201,4711,ACABAMENTOS,11
01/03/2023,08:00:00,09:05:00,107217,19500,122,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,126,4506,PRODUÇÃO,65
01/03/2023,08:00:00,09:15:00,107296,19528,10,3,TROCA DE O.S.,72,7091,MECÂNICA,75
01/03/2023,08:00:00,08:20:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,128,25,APONTAMENTO NO GESTOR DE SERVIÇO AVULSO,20
01/03/2023,08:00:00,08:10:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,10
01/03/2023,08:00:00,08:10:00,107235,19311,85,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,6975,TESTE,10
01/03/2023,08:00:00,09:15:00,108342,18931,19,3,TROCA DE O.S.,126,6243,PRE-PRODUCAO,75
01/03/2023,08:00:00,08:50:00,0,0,0,3,TROCA DE O.S.,141,1,RESINA,50
01/03/2023,08:00:00,08:05:00,107203,19650,5,3,TROCA DE O.S.,121,7376,PRE-PRODUCAO,5
01/03/2023,08:00:00,08:20:00,107205,19123,3,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,60,5767,PRE-PRODUCAO,20
01/03/2023,08:00:00,08:50:00,107225,19390,100,3,TROCA DE O.S.,172,5477,TESTE,50
01/03/2023,08:00:00,08:10:00,107216,19514,33,3,TROCA DE O.S.,93,5707,FINALIZAÇÃO DE PRODUTO,10
01/03/2023,08:00:00,08:30:00,107412,19617,58,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,209,7368,PRODUÇÃO,30
02/03/2023,17:50:00,17:53:00,107519,19377,15,19,REGISTRO DO APONTAMENTO NO SISTEMA,209,5920,PRE-PRODUCAO,3
02/03/2023,17:48:00,18:00:00,107522,18994,150,21,CONFERÊNCIA DE MATÉRIA PRIMA NA O.P.,128,6420,ACABAMENTOS,12
02/03/2023,17:38:00,17:45:00,107321,19115,6,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,171,5601,PRODUÇÃO,7
02/03/2023,17:26:00,17:35:00,17287,4818,1,19,REGISTRO DO APONTAMENTO NO SISTEMA,200,7106,SEPARACAOEMBALAGEM,9
02/03/2023,17:26:00,18:00:00,106931,19021,25,19,REGISTRO DO APONTAMENTO NO SISTEMA,106,7091,PRE-TESTE,34
02/03/2023,17:25:00,17:35:00,107633,19474,58,2,NECESSIDADES OU ASSUNTOS PESSOAIS,73,6966,PRE-PRODUCAO,10
02/03/2023,17:19:00,17:23:00,107519,19377,15,17,AGUARDANDO PROCESSO DE INSPEÇÃO DA QUALIDADE,209,5920,PRE-PRODUCAO,4
02/03/2023,17:15:00,17:55:00,108167,18931,19,3,TROCA DE O.S.,121,6243,PRE-PRODUCAO,40
02/03/2023,17:14:00,17:25:00,107634,19066,25,3,TROCA DE O.S.,195,6793,ACABAMENTOS,11
02/03/2023,17:12:00,17:50:00,108342,18931,19,3,TROCA DE O.S.,126,6243,PRE-PRODUCAO,38
02/03/2023,17:10:00,17:35:00,107544,19665,10,17,AGUARDANDO PROCESSO DE INSPEÇÃO DA QUALIDADE,93,6067,FINALIZAÇÃO DE PRODUTO,25
02/03/2023,17:10:00,18:00:00,108214,19301,20,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,183,6792,PRE-TESTE,50
02/03/2023,17:09:00,17:12:00,17285,4805,150,19,REGISTRO DO APONTAMENTO NO SISTEMA,198,6913,PRODUÇÃO,3
02/03/2023,17:07:00,17:10:00,17284,4805,150,19,REGISTRO DO APONTAMENTO NO SISTEMA,121,6913,PRODUÇÃO,3
02/03/2023,17:05:00,17:40:00,107636,19606,60,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,46,6096,MECÂNICA,35
02/03/2023,17:05:00,17:08:00,107509,19370,35,19,REGISTRO DO APONTAMENTO NO SISTEMA,195,5960,PRODUÇÃO,3
02/03/2023,17:04:00,17:57:00,0,0,0,3,TROCA DE O.S.,180,16,GRAVAÇÃO DE MICROCONTROLADOR,53
02/03/2023,17:00:00,18:00:00,107574,19514,33,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,163,5707,PRE-TESTE,60
02/03/2023,17:00:00,17:19:00,107519,19377,15,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,209,5920,PRE-PRODUCAO,19
02/03/2023,16:55:00,17:10:00,107544,19665,10,3,TROCA DE O.S.,93,6067,FINALIZAÇÃO DE PRODUTO,15
02/03/2023,16:38:00,17:10:00,107510,19675,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,183,6031,TESTE,32
02/03/2023,16:35:00,16:55:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,93,2,EMBALAGEM,20
02/03/2023,16:25:00,16:46:00,107518,19798,4,12,ATENDIMENTO AO BALCAO INTERNO - ALMOXARIFADO,76,4648,SEPARACAO,21
02/03/2023,16:18:00,16:34:00,107501,19399,50,19,REGISTRO DO APONTAMENTO NO SISTEMA,106,7034,PRE-TESTE,16
02/03/2023,16:16:00,17:04:00,0,0,0,3,TROCA DE O.S.,180,17,INSPEÇÃO DE PROCESSO / CONTROLE DE QUALIDADE,48
02/03/2023,16:10:00,17:40:00,107521,19528,10,3,TROCA DE O.S.,128,7091,PRODUÇÃO,90
02/03/2023,16:03:00,17:00:00,107574,19514,33,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,163,5707,PRE-TESTE,57
02/03/2023,16:03:00,17:57:00,107547,19474,58,3,TROCA DE O.S.,175,6966,PRE-PRODUCAO,114
02/03/2023,16:03:00,16:38:00,107510,19675,11,3,TROCA DE O.S.,183,6031,TESTE,35
02/03/2023,16:03:00,17:07:00,17284,4805,150,5,FALTA DE MATÉRIA PRIMA,121,6913,PRODUÇÃO,64
02/03/2023,16:03:00,16:05:00,107501,19399,50,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,7034,PRE-TESTE,2
02/03/2023,16:03:00,17:12:00,17286,4805,150,5,FALTA DE MATÉRIA PRIMA,126,6913,PRODUÇÃO,69
02/03/2023,16:03:00,16:15:00,107492,19399,50,19,REGISTRO DO APONTAMENTO NO SISTEMA,155,7034,PRE-TESTE,12
02/03/2023,16:03:00,17:25:00,107633,19474,58,3,TROCA DE O.S.,73,6966,PRE-PRODUCAO,82
02/03/2023,16:00:00,17:52:00,107529,19528,10,3,TROCA DE O.S.,204,7091,PRODUÇÃO,112
02/03/2023,16:00:00,17:38:00,107531,19399,50,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,171,7034,PRE-PRODUCAO,98
02/03/2023,16:00:00,16:25:00,107519,19377,15,6,PROCESSO ANTERIOR NÃO CONCLUÍDO,209,5920,PRE-PRODUCAO,25
02/03/2023,16:00:00,16:31:00,107676,19817,10,3,TROCA DE O.S.,212,6825,PRODUÇÃO,31
02/03/2023,16:00:00,16:10:00,107521,19528,10,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,128,7091,PRODUÇÃO,10
02/03/2023,16:00:00,17:09:00,17285,4805,150,5,FALTA DE MATÉRIA PRIMA,198,6913,PRODUÇÃO,69
02/03/2023,16:00:00,16:16:00,0,0,0,3,TROCA DE O.S.,180,16,GRAVAÇÃO DE MICROCONTROLADOR,16
02/03/2023,15:43:00,17:12:00,107537,19744,12,3,TROCA DE O.S.,220,6243,SEPARACAO,89
02/03/2023,15:42:00,16:00:00,0,0,0,19,REGISTRO DO APONTAMENTO NO SISTEMA,151,0,,18
02/03/2023,15:32:00,15:42:00,0,0,0,2,NECESSIDADES OU ASSUNTOS PESSOAIS,151,0,,10
02/03/2023,15:22:00,15:25:00,107487,19574,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,53,7038,PRODUÇÃO,3
02/03/2023,15:07:00,15:15:00,107483,19666,20,19,REGISTRO DO APONTAMENTO NO SISTEMA,73,6036,PRE-PRODUCAO,8
02/03/2023,15:01:00,15:05:00,107482,19674,11,19,REGISTRO DO APONTAMENTO NO SISTEMA,172,6032,TESTE,4
02/03/2023,15:00:00,15:45:00,107492,19399,50,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,155,7034,PRE-TESTE,45
02/03/2023,14:51:00,15:19:00,107514,20037,15,3,TROCA DE O.S.,202,6015,SEPARACAO,28
02/03/2023,14:50:00,15:45:00,107501,19399,50,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,7034,PRE-TESTE,55
